week,범죄도시2,탑건: 매버릭,아바타: 물의 길,한산: 용의 출현,공조2: 인터내셔날,닥터 스트레인지: 대혼돈의 멀티버스,헌트,올빼미,쥬라기 월드: 도미니언,마녀(魔女) Part2. The Other One,토르: 러브 앤 썬더,미니언즈2,블랙 팬서: 와칸다 포에버,비상선언,육사오(6/45),헤어질 결심,외계+인 1부,영웅,해적: 도깨비 깃발,브로커,신비한 동물들과 덤블도어의 비밀,인생은 아름다워,더 배트맨,데시벨,정직한 후보2,씽2게더,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,블랙 아담,킹메이커,자백,언차티드,경관의 피,극장판 주술회전 0,압꾸정,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,이상한 나라의 수학자,명탐정 코난: 할로윈의 신부,동감,모비우스,늑대사냥,뽀로로 극장판 드래곤캐슬 대모험,특송,니 부모 얼굴이 보고 싶다,놉,리멤버,배드 가이즈,뜨거운 피,신비아파트 극장판 차원도깨비와 7개의 세계,버즈 라이트이어,탄생,수퍼 소닉2,DC 리그 오브 슈퍼-펫,나일 강의 죽음,아바타 리마스터링,극장판 헬로카봇: 수상한 마술단의 비밀,문폴,극장판 뽀로로와 친구들: 바이러스를 없애줘!,원피스 필름 레드,오펀: 천사의 탄생,극장판 엄마 까투리: 도시로 간 까투리 가족,앵커,공기살인,극장판 엉덩이 탐정: 수플레 섬의 비밀,젠틀맨,불릿 트레인,하우스 오브 구찌,웨스트 사이드 스토리,극장판 안녕 자두야: 제주도의 비밀,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,앰뷸런스,로스트 시티,서울괴담,스트레인지 월드,블랙폰,스마일,엘비스,스텔라,폴: 600미터,인민을 위해 복무하라,프레이 포 더 데블,리미트,극장판 5등분의 신부,엔시티 드림 더 무비 : 인 어 드림,빅샤크4: 바다공룡 대모험,더 킬러: 죽어도 되는 아이,티켓 투 파라다이스,시맨틱 에러: 더 무비,본즈 앤 올,인생은 뷰티풀: 비타돌체,아인보: 아마존의 전설,컴백홈,355.,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,세븐틴 파워 오브 러브 : 더 무비,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,루이스 웨인: 사랑을 그린 고양이 화가,귀못,나이트메어 앨리,민스미트 작전,배니싱: 미제사건
41,0,"6,499,097",0,"19,182,500","1,492,053,220",0,"2,209,999",0,0,0,0,0,0,0,"32,314,200","8,226,397",0,0,0,0,0,"1,775,357,260",0,0,"835,552,675",0,"1,009,526,658",0,0,0,0,0,0,0,0,0,"1,750,799",0,0,"16,519,419",0,0,0,"3,999,000",0,0,0,0,0,0,0,0,0,0,"149,588,294",0,0,0,"1,179,178,868","4,521,500",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,100,000","209,359,930",0,0,0,0,0,0,"38,576,000",0,0,0,"441,012,764","30,533,200",0,0,0,"20,927,898",0,0,0,0,0,0,0,0,0
42,0,"4,709,995",0,"3,264,500","931,613,404",0,"1,605,700",0,0,0,0,0,0,0,"9,209,000","7,772,796",0,0,0,0,0,"1,295,736,846",0,0,"290,090,001",0,"744,593,318","5,036,670,191",0,0,0,0,0,0,0,0,"68,293,098",0,0,"7,867,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80,468,058",0,0,0,"479,117,412","2,049,200",0,0,0,0,0,0,0,0,0,0,0,0,0,"300,000","124,434,871",0,0,0,0,0,0,"58,774,400",0,0,0,"78,094,545",0,0,0,0,"16,488,500",0,0,0,0,0,"269,308,700",0,0,0
43,0,"59,705,495",0,"7,056,000","301,465,778",0,"507,900",0,0,0,0,0,0,0,"5,394,200","7,029,497",0,0,0,0,0,"649,375,479",0,0,"61,078,797",0,"571,506,727","1,889,771,380",0,"2,959,399,664",0,0,0,0,0,0,"42,123,900",0,0,"1,490,900",0,0,0,0,"2,410,472,587",0,0,0,0,0,0,0,0,0,"18,929,680",0,0,0,"104,005,217","105,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,772,794",0,0,0,0,0,0,"47,445,500",0,0,0,"12,704,199",0,0,0,"165,407,644","4,595,000",0,0,0,0,0,"64,134,300",0,0,0
44,0,"2,470,897",0,"5,974,000","158,554,456",0,"9,211,000",0,0,0,0,0,0,0,"16,056,000","22,335,998",0,0,0,0,0,"435,562,045",0,0,"22,548,799",0,"487,938,838","970,627,054",0,"2,679,251,954",0,0,0,0,0,0,"11,091,700",0,0,"762,900",0,0,0,0,"1,087,317,865",0,0,0,0,0,0,0,0,0,"5,825,680",0,0,0,"39,109,482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,927,397",0,0,0,0,0,0,0,0,0,0,"11,789,600",0,0,0,"96,846,035","5,719,000",0,0,0,0,0,"3,014,700",0,0,0
45,0,"1,548,796",0,"4,510,000","28,355,279",0,0,0,0,0,0,0,"13,035,718,653",0,"5,741,000","5,265,094",0,0,0,0,0,"185,361,639",0,0,"10,302,398",0,"353,826,043","107,741,383",0,"1,281,553,443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"206,625,263",0,0,0,0,0,0,0,0,0,"7,064,419",0,0,0,"3,146,898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,290,098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"66,026,400",0,0,0,0,0,0,0,0,0,0
46,0,"589,900",0,0,"3,142,399",0,0,0,0,0,0,0,"6,065,395,022",0,"1,350,000","3,625,998",0,0,0,0,0,"82,467,312",0,"5,559,772,054","10,223,000",0,"211,762,967","12,414,100",0,"296,580,979",0,0,0,0,0,0,0,"3,226,606,439",0,0,0,0,0,0,"10,369,657",0,0,0,0,0,0,0,0,0,"4,131,900",0,0,0,"208,599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"289,198",0,0,"665,931,860",0,0,0,0,0,0,0,0,0,0,0,"45,708,900",0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,"1,430,000",0,0,"9,701,184,856",0,0,0,0,"2,262,961,100",0,0,"364,099",0,0,0,0,0,"44,290,299",0,"2,408,662,360","1,068,000",0,"90,210,228","2,283,500",0,"28,451,998",0,0,0,0,0,0,0,"1,148,664,025",0,0,0,0,0,0,"18,839,500",0,0,0,0,0,0,0,0,0,"2,582,500",0,0,0,"146,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"687,067,867",0,0,0,0,"122,130,182",0,0,0,0,0,0,0,0,0,0,0,"9,192,000",0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,"8,789,506,585",0,0,0,0,"599,834,622",0,0,0,0,0,0,0,0,"12,734,099",0,"558,975,251",0,0,"18,612,192",0,0,"15,834,900",0,0,0,"3,878,963,523",0,0,0,"218,694,771",0,0,0,0,0,0,"11,885,300",0,0,0,0,"1,175,388,285",0,0,0,0,0,0,"772,689,400","1,283,739,306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"173,399,276",0,0,0,0,"8,101,599",0,0,0,0,"1,086,539,600",0,0,0,0,"342,404,637",0,"7,234,500",0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,"7,441,164,651",0,0,0,0,"223,987,412",0,0,0,0,0,0,0,0,"19,775,000",0,"190,147,484",0,0,"38,684,389",0,0,"3,705,000",0,0,0,"1,635,660,472",0,0,0,"36,993,265",0,0,0,0,0,0,"3,955,000",0,0,0,0,"1,121,569,770",0,0,0,0,0,0,"477,956,900","507,127,037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67,270,088",0,0,0,0,"4,077,598",0,"610,238,787",0,0,"153,459,500",0,0,0,0,"130,024,438",0,"2,528,000",0,0,0,0,0,0,0,0,0,0
50,0,0,"38,780,493,354",0,0,0,0,"3,003,917,046",0,0,0,0,"1,443,197",0,0,0,0,0,0,0,0,"9,123,100",0,"11,600,000",0,0,"4,076,452",0,0,"497,500",0,0,0,"146,609,166",0,0,0,"8,792,000",0,0,0,0,0,0,"1,750,000",0,0,"1,139,894,269",0,"409,636,842",0,0,0,0,0,0,"209,400,000","84,221,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,101,600",0,0,0,0,"2,238,099",0,"51,052,891",0,0,0,0,0,0,0,"44,144,172",0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,"35,294,139,574",0,0,0,0,"1,887,052,084",0,0,0,0,"605,599",0,0,0,0,"9,458,210,644",0,0,0,0,0,"1,750,000",0,0,"393,798",0,0,"763,500",0,0,0,"24,837,500",0,0,0,"1,809,200",0,0,0,0,0,0,0,0,0,"1,204,349,848",0,"184,679,891",0,0,0,0,0,0,"171,414,500","54,887,100",0,0,0,0,0,0,0,0,0,0,"866,200,204",0,0,0,"12,160,000",0,0,0,0,"200,000",0,"7,190,099",0,0,0,0,0,0,0,"36,623,884",0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,"25,098,573,011",0,0,0,0,"1,267,442,164",0,0,0,0,"439,899",0,0,0,0,"8,109,418,981",0,0,0,0,0,"1,750,000",0,0,0,0,0,0,0,0,0,"2,117,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,053,977,959",0,"82,149,549",0,0,0,0,0,0,"197,179,500","23,245,245",0,0,0,0,0,"1,824,609,397",0,0,0,0,"344,823,840",0,0,0,0,0,0,0,0,0,0,"14,844,000",0,0,0,0,0,0,0,"28,783,096",0,0,0,0,0,0,0,0,0,0,0,0
